min_y,min_x,max_y,max_x
15714,2160,15743,2189
3341,5588,3370,5617
3813,13532,3842,13561
12944,11445,12973,11474
2917,3503,2946,3532
973,7657,1002,7686
1155,187,1184,216
3874,9993,3903,10022
4979,16021,5008,16050
8652,13531,8681,13560
15389,7695,15418,7724
13915,13348,13944,13377
7918,9194,7947,9223
15966,7546,15995,7575
9671,1312,9700,1341
15158,14718,15187,14747
3312,12088,3341,12117
8954,11373,8983,11402
9214,266,9243,295
5680,6016,5709,6045
11266,280,11295,309
7111,9285,7140,9314
7620,2102,7649,2131
2108,4046,2137,4075
9997,6432,10026,6461
11387,2954,11416,2983
1032,3785,1061,3814
15316,3522,15345,3551
7908,8614,7937,8643
2145,8469,2174,8498
8131,1373,8160,1402
9205,10607,9234,10636
2505,9268,2534,9297
8647,5918,8676,5947
1111,13862,1140,13891
4440,12068,4469,12097
5339,9734,5368,9763
233,11837,262,11866
3831,14875,3860,14904
5629,6988,5658,7017
9120,9104,9149,9133
14889,7681,14918,7710
9950,4904,9979,4933
15212,12194,15241,12223
14957,7939,14986,7968
2770,4921,2799,4950
14400,3112,14429,3141
7219,3568,7248,3597
10174,3490,10203,3519
11303,6360,11332,6389
14798,1225,14827,1254
3260,1103,3289,1132
5248,554,5277,583
12670,13427,12699,13456
3054,16301,3083,16330
2412,14612,2441,14641
15736,4152,15765,4181
7006,14639,7035,14668
3622,1244,3651,1273
4806,4724,4835,4753
16342,12234,16371,12263
15568,140,15597,169
15348,14196,15377,14225
14776,10287,14805,10316
5767,9189,5796,9218
9724,1253,9753,1282
13528,9056,13557,9085
12918,8289,12947,8318
2014,12539,2043,12568
4589,13162,4618,13191
4432,11572,4461,11601
7879,6478,7908,6507
5779,6474,5808,6503
1178,8912,1207,8941
9846,10121,9875,10150
5438,7483,5467,7512
12291,4585,12320,4614
14377,9218,14406,9247
10707,1592,10736,1621
8627,2762,8656,2791
6160,4914,6189,4943
14957,2190,14986,2219
847,3837,876,3866
5864,15458,5893,15487
11681,8339,11710,8368
11829,7901,11858,7930
11859,13170,11888,13199
15715,13236,15744,13265
10039,11596,10068,11625
11358,11421,11387,11450
5307,172,5336,201
2222,10568,2251,10597
5174,8404,5203,8433
6991,11421,7020,11450
11942,7987,11971,8016
12556,7223,12585,7252
4696,8656,4725,8685
10506,16088,10535,16117
2039,7862,2068,7891
8450,5429,8479,5458
16309,2820,16338,2849
11543,8064,11572,8093
5040,8025,5069,8054
10407,124,10436,153
5008,8023,5037,8052
7596,9846,7625,9875
4663,2139,4692,2168
15678,14517,15707,14546
6030,1274,6059,1303
14175,1156,14204,1185
3943,7114,3972,7143
6168,14157,6197,14186
10845,12096,10874,12125
3458,8909,3487,8938
9623,11880,9652,11909
12635,9567,12664,9596
3511,2002,3540,2031
7367,9602,7396,9631
8264,15492,8293,15521
2669,3742,2698,3771
9863,7689,9892,7718
11135,15333,11164,15362
14864,14852,14893,14881
5066,15363,5095,15392
9618,2649,9647,2678
1334,7558,1363,7587
14079,4288,14108,4317
11549,9376,11578,9405
6378,7217,6407,7246
15799,979,15828,1008
13752,9412,13781,9441
14828,15531,14857,15560
15383,11259,15412,11288
6434,15939,6463,15968
8212,12959,8241,12988
3925,3807,3954,3836
14392,5900,14421,5929
230,5456,259,5485
2837,5791,2866,5820
2283,8705,2312,8734
673,11363,702,11392
15223,2303,15252,2332
13334,4111,13363,4140
15047,6913,15076,6942
12419,9138,12448,9167
5885,7554,5914,7583
1294,11370,1323,11399
9614,4344,9643,4373
13787,5167,13816,5196
449,5833,478,5862
5777,8393,5806,8422
12169,15066,12198,15095
8895,8338,8924,8367
10276,3249,10305,3278
13725,11113,13754,11142
143,1024,172,1053
12289,14984,12318,15013
4135,7755,4164,7784
6000,15372,6029,15401
7842,8680,7871,8709
12560,5488,12589,5517
6270,12609,6299,12638
3307,16245,3336,16274
14569,6703,14598,6732
12628,7361,12657,7390
10149,454,10178,483
4906,3212,4935,3241
867,15237,896,15266
6632,14438,6661,14467
15397,12393,15426,12422
6234,13722,6263,13751
11350,4445,11379,4474
1879,16276,1908,16305
3173,13174,3202,13203
5315,12484,5344,12513
5354,2861,5383,2890
6523,15755,6552,15784
5546,15738,5575,15767
9504,2229,9533,2258
9858,9177,9887,9206
11283,3883,11312,3912
7833,2848,7862,2877
12534,2221,12563,2250
14648,2842,14677,2871
517,12454,546,12483
14330,12034,14359,12063
6906,11761,6935,11790
10223,13890,10252,13919
5309,3663,5338,3692
3770,1467,3799,1496
12319,6893,12348,6922
12111,13655,12140,13684
774,1712,803,1741
1556,15763,1585,15792
9829,6116,9858,6145
15473,5016,15502,5045
14043,13011,14072,13040
15984,9160,16013,9189
16282,11889,16311,11918
1903,13486,1932,13515
4989,1208,5018,1237
15533,2802,15562,2831
13036,3432,13065,3461
12026,609,12055,638
7134,11539,7163,11568
5354,2056,5383,2085
12755,8766,12784,8795
2856,10578,2885,10607
3238,8651,3267,8680
14448,5029,14477,5058
12756,9944,12785,9973
735,7906,764,7935
3112,4233,3141,4262
999,9850,1028,9879
15094,4976,15123,5005
10002,4553,10031,4582
1057,9860,1086,9889
12655,11406,12684,11435
596,14079,625,14108
1273,1703,1302,1732
2287,2699,2316,2728
344,11836,373,11865
11921,4661,11950,4690
10076,13870,10103,13899
3324,2193,3353,2222
7431,14987,7460,15016
6569,6196,6598,6225
4853,2251,4882,2280
1407,11945,1436,11974
13529,10473,13558,10502
14546,9210,14575,9239
1725,10806,1754,10835
12964,13894,12993,13923
277,388,306,417
15063,12387,15092,12416
9045,6937,9074,6966
9655,8804,9684,8833
8962,2108,8991,2137
9317,5442,9346,5471
14454,6281,14483,6310
5207,8488,5236,8517
1166,15559,1195,15588
6005,1188,6034,1217
5857,15790,5886,15816
13331,3586,13360,3615
5054,7216,5083,7245
11135,6214,11164,6243
16,14125,45,14154
1078,4865,1107,4894
15784,8420,15813,8449
13164,1828,13193,1857
49,8848,78,8877
4868,13749,4897,13778
7133,11786,7162,11813
1787,8240,1816,8269
6851,10533,6880,10562
1940,12483,1969,12512
8824,4643,8853,4672
4339,12036,4368,12065
4285,297,4314,326
2318,9374,2347,9403
16079,12629,16108,12658
8916,15996,8945,16025
12224,320,12253,349
14954,15297,14983,15326
10321,6238,10350,6267
5730,10746,5759,10775
16116,6252,16145,6281
3917,7912,3946,7941
3832,8669,3861,8698
1351,14828,1380,14857
9602,4642,9631,4671
9634,12634,9663,12663
2176,3562,2205,3591
7742,12209,7771,12238
11676,7119,11705,7148
4652,2234,4681,2263
9572,1852,9601,1881
13969,13699,13998,13728
11075,1388,11104,1417
3786,11955,3815,11984
6672,5563,6701,5592
13884,15237,13913,15266
7063,15951,7092,15980
14335,3844,14364,3873
12502,10563,12531,10592
3242,10795,3271,10824
14339,13797,14368,13826
12494,1121,12523,1150
15052,13435,15081,13464
142,10028,171,10057
9123,6005,9152,6034
7547,16131,7576,16160
3739,6671,3768,6700
16327,4756,16356,4785
10110,7938,10139,7967
5106,13146,5135,13175
4133,16103,4162,16132
9971,3361,10000,3390
4252,3457,4281,3486
14160,8009,14189,8038
1704,3353,1733,3382
14037,15289,14066,15318
1609,8083,1638,8112
13730,10723,13759,10752
2479,380,2508,409
300,8396,329,8425
12286,10732,12315,10761
10287,10268,10316,10297
9564,7076,9593,7105
1283,13471,1312,13500
5383,16074,5412,16103
2011,203,2040,232
6910,15521,6939,15550
7429,4800,7458,4829
2387,6540,2416,6569
6347,4940,6376,4969
15987,14598,16016,14627
10313,13156,10342,13185
3761,4519,3790,4548
11179,2427,11208,2456
15432,11194,15461,11223
11409,15761,11438,15790
7568,14265,7597,14294
11909,7771,11938,7800
12184,14074,12213,14103
7629,537,7658,566
6525,2002,6554,2031
9175,13454,9204,13483
5893,15285,5922,15314
13724,5451,13753,5480
7058,3115,7087,3144
4994,2797,5023,2826
16298,2898,16327,2927
11123,3063,11152,3092
3026,15168,3055,15197
2582,15028,2611,15057
12131,13799,12160,13828
12172,2405,12201,2434
15548,15515,15577,15544
12805,10892,12834,10921
13522,14859,13551,14888
10992,4635,11021,4664
14745,11972,14774,12001
7036,11805,7065,11834
6499,12320,6528,12349
6287,10043,6316,10072
8149,7117,8178,7146
10552,6608,10581,6637
14127,8933,14156,8962
4992,4100,5021,4129
6898,422,6927,451
120,2665,149,2694
5313,4048,5342,4077
13812,6128,13841,6157
4527,88,4556,117
5223,8744,5252,8773
4824,209,4853,238
3824,8770,3853,8799
16153,4714,16182,4743
15148,1734,15177,1763
11575,4294,11604,4323
4867,12031,4896,12060
1495,2266,1524,2295
1802,15184,1831,15213
2911,10243,2940,10272
9336,3200,9365,3229
5596,4728,5625,4757
9174,153,9203,182
3705,9886,3734,9915
15636,15620,15665,15649
8300,1430,8329,1459
10145,5604,10174,5633
7968,5580,7997,5609
11158,8856,11187,8885
14755,9800,14784,9829
5758,3599,5787,3628
6031,2441,6060,2470
12803,9425,12832,9454
13011,7838,13040,7867
2517,6958,2546,6987
9351,1429,9380,1458
2868,15462,2897,15491
1692,13120,1721,13149
4689,12212,4718,12241
9984,8985,10013,9014
13502,9956,13531,9985
6356,12883,6385,12912
11793,7647,11822,7676
9689,9412,9718,9441
16202,7142,16231,7171
4658,3935,4687,3964
1619,13854,1648,13883
5707,14736,5736,14765
8612,12297,8641,12326
10797,13452,10826,13481
3850,3288,3879,3317
6802,9758,6831,9787
5949,1852,5978,1881
10236,2470,10265,2499
11879,2432,11908,2461
3586,5129,3615,5158
11269,12245,11298,12274
7280,5125,7309,5154
8943,7554,8972,7583
4242,3377,4271,3406
15981,1417,16010,1446
2924,15454,2953,15483
13468,560,13497,589
5610,8678,5639,8707
15686,13914,15715,13943
479,8607,508,8636
286,6599,315,6628
15926,14443,15952,14472
2763,3308,2792,3337
6308,11129,6337,11158
12704,7824,12733,7853
11904,14300,11933,14329
12389,11039,12418,11066
9046,8841,9075,8870
180,977,209,1006
10958,1322,10987,1351
7270,14547,7299,14576
7503,15682,7532,15711
1969,4853,1998,4882
9474,11190,9503,11219
12901,3009,12930,3038
14033,14305,14062,14334
3958,8398,3987,8427
14499,7032,14528,7061
6866,5173,6895,5202
6680,8002,6709,8031
7326,5774,7355,5803
5689,9348,5718,9377
3861,3367,3890,3396
6219,14882,6248,14911
13690,14633,13719,14662
11309,7727,11338,7756
14235,4433,14264,4462
4260,4997,4289,5026
1080,6108,1109,6137
11452,9683,11481,9712
15064,9581,15093,9610
7315,14666,7344,14695
12216,5356,12245,5385
4682,5185,4711,5214
7280,8258,7309,8287
11518,2062,11547,2091
676,12044,705,12073
13092,7520,13121,7549
9886,11156,9915,11185
5003,6836,5032,6865
12484,10885,12513,10914
7868,11517,7897,11546
14292,13926,14321,13955
13221,13956,13250,13985
5503,15504,5532,15533
9014,990,9043,1019
10133,6471,10162,6500
4805,5803,4834,5832
8402,2467,8431,2496
16126,12855,16155,12884
6676,12450,6705,12479
12366,7681,12395,7710
14674,1354,14703,1383
7142,6830,7171,6859
15006,1199,15035,1228
3327,2278,3356,2307
6170,5264,6199,5293
6006,5663,6035,5692
9696,12988,9725,13017
9532,2516,9561,2545
4235,7158,4264,7187
2403,814,2432,843
919,12012,948,12041
14531,15145,14560,15174
7350,3622,7379,3651
10771,14856,10800,14885
7333,13916,7362,13945
1476,4304,1505,4333
9957,6109,9986,6138
9517,6271,9546,6300
2136,9948,2165,9977
9482,11544,9511,11573
16308,14677,16337,14706
3621,4473,3650,4502
6415,11886,6444,11915
3055,8582,3084,8611
13572,11369,13601,11398
11238,12021,11267,12050
11470,8459,11499,8488
15754,11029,15783,11058
10832,9369,10861,9398
14369,670,14398,699
5303,7538,5332,7567
10511,9527,10540,9556
15846,731,15875,760
2434,4215,2463,4244
4402,7928,4431,7957
3159,14289,3188,14318
8999,2333,9028,2362
2422,2951,2451,2980
14389,267,14418,296
9074,7547,9103,7576
5465,10755,5494,10784
14613,4454,14642,4483
4040,2781,4069,2810
16218,14324,16247,14353
12989,6451,13018,6480
14991,1166,15020,1195
12297,8694,12326,8723
16075,9965,16104,9994
11675,12752,11704,12781
3209,10177,3238,10199
8063,16348,8092,16377
3194,12557,3223,12586
13290,11384,13319,11413
8972,9369,9001,9398
411,5881,440,5910
13547,10332,13576,10361
6177,275,6206,304
8722,13387,8751,13416
12436,999,12465,1028
8734,2043,8763,2072
10069,13949,10098,13978
13323,1768,13352,1797
3341,4833,3370,4862
8174,2306,8203,2335
3607,8713,3636,8742
3796,9986,3825,10015
1277,13414,1306,13443
15321,13034,15350,13063
13013,1468,13042,1497
11461,2591,11490,2620
14433,7120,14462,7149
4952,14899,4981,14928
13874,12073,13903,12102
13271,14224,13300,14253
9075,13377,9104,13406
15733,1524,15762,1553
3089,4523,3118,4552
9025,9847,9054,9876
6142,5673,6171,5702
5541,16197,5570,16226
11901,15768,11930,15797
4844,6696,4873,6725
269,13544,298,13573
14371,4162,14400,4191
8850,15980,8879,16009
10378,6731,10407,6760
2249,7837,2278,7866
9893,7262,9922,7291
9909,10234,9938,10263
13952,12151,13981,12180
1248,3842,1277,3871
10669,10586,10698,10615
537,3283,566,3312
2889,4323,2918,4352
6462,2116,6491,2145
9108,15426,9137,15455
13669,5016,13698,5045
4049,8138,4078,8167
2500,11243,2529,11272
6563,10596,6592,10625
147,5655,176,5684
841,8846,870,8875
13561,8266,13590,8295
9061,548,9090,577
10013,15853,10042,15882
3885,3565,3914,3594
9504,10354,9533,10383
13574,11327,13603,11356
1596,3424,1625,3453
14614,14690,14643,14719
3236,14941,3265,14970
11100,11119,11129,11148
11820,9581,11849,9610
9292,4967,9321,4996
15778,12398,15807,12427
875,4782,904,4811
5784,3292,5813,3321
12577,15425,12606,15454
11947,14400,11976,14429
9351,8234,9380,8263
5110,7192,5139,7221
7204,13811,7233,13840
2664,12785,2693,12814
7923,13549,7949,13578
3938,54,3967,83
9905,6845,9934,6874
10608,14463,10637,14492
14815,581,14844,610
12988,10236,13017,10265
2680,963,2709,992
11895,1054,11924,1083
5141,15033,5170,15062
5135,10493,5164,10522
8899,14256,8928,14285
7937,12248,7966,12277
10555,12631,10584,12660
7050,1117,7079,1146
11482,860,11511,889
8945,6625,8974,6654
14888,5196,14917,5225
11422,10805,11451,10834
1027,10112,1056,10141
7891,3209,7920,3238
7177,10012,7206,10041
7183,2665,7212,2694
11848,12951,11877,12980
5169,7942,5198,7971
9306,788,9335,817
11429,11571,11458,11600
8223,1126,8252,1155
13590,1522,13619,1551
5267,12922,5296,12951
13676,12667,13705,12696
1337,12657,1366,12686
3493,11996,3522,12025
11185,14572,11214,14601
4477,316,4506,345
7820,791,7849,820
3667,660,3696,689
7660,5295,7689,5324
1904,5968,1933,5997
10378,14973,10407,15002
11443,7577,11472,7606
9642,15141,9671,15170
12108,7530,12137,7559
13213,5252,13242,5281
13867,10101,13896,10130
13554,7499,13583,7528
14955,1585,14984,1614
5094,5419,5123,5448
8133,9230,8162,9259
9277,6676,9306,6705
1044,8391,1073,8420
1630,15896,1659,15925
5619,10634,5648,10663
7183,1543,7212,1572
3290,783,3319,812
8721,13605,8750,13634
3682,6072,3711,6101
9451,3931,9480,3960
10071,14182,10100,14211
7994,2484,8023,2513
354,9710,383,9739
8577,3185,8606,3214
12630,11761,12659,11790
7140,11797,7169,11826
13803,2864,13832,2893
2203,13439,2232,13468
13482,11845,13511,11874
12912,1066,12941,1095
9778,10740,9807,10769
7231,5283,7260,5312
15069,1825,15098,1854
8952,8909,8981,8938
8051,9022,8080,9051
10864,9971,10893,10000
9432,301,9461,330
7566,6621,7595,6650
10241,5697,10270,5726
4427,15335,4456,15364
8811,11780,8840,11809
13557,11009,13586,11038
11412,9199,11441,9228
8388,208,8417,237
14447,6418,14476,6447
15329,8195,15358,8224
15107,12672,15136,12701
15531,1988,15560,2017
11463,4544,11492,4573
8655,3643,8684,3672
12647,3842,12676,3871
12111,5884,12140,5913
12002,6870,12031,6899
9760,10547,9789,10576
10825,156,10854,185
1433,15466,1462,15495
7169,15546,7198,15575
13088,10717,13117,10746
1113,15335,1142,15364
4001,12869,4030,12898
8844,14495,8873,14524
3705,12030,3734,12059
15160,274,15189,303
645,15112,674,15141
2559,1943,2588,1972
7263,16331,7292,16360
5854,4893,5883,4922
15649,13095,15678,13124
4385,8150,4414,8179
832,12061,861,12090
10345,2257,10374,2286
4942,15245,4971,15274
4166,15366,4195,15395
9347,2454,9376,2483
1139,3283,1168,3312
5930,14086,5959,14115
15599,11341,15628,11370
15682,4917,15711,4946
760,8839,789,8868
9387,11203,9416,11232
7721,4251,7750,4280
2377,630,2406,659
2722,3339,2751,3368
12208,377,12237,406
7037,14211,7066,14240
9717,1963,9746,1992
2721,13102,2750,13131
3843,8946,3872,8974
12226,11676,12255,11705
3835,8524,3864,8553
3888,13321,3917,13350
2921,9437,2950,9466
6171,11454,6200,11483
4468,13655,4497,13684
210,4975,239,5004
7383,13389,7412,13418
2062,2526,2091,2555
12210,12518,12239,12547
209,16126,238,16155
659,11207,688,11236
10276,4503,10305,4532
7765,15068,7794,15097
9492,4361,9521,4390
8482,7157,8511,7186
14589,2270,14618,2299
4951,11773,4980,11802
3114,8608,3143,8637
7682,9747,7711,9776
6360,167,6389,196
13459,2948,13488,2977
11774,8534,11803,8563
5400,7264,5429,7293
751,4088,780,4117
2817,12547,2846,12576
1264,10892,1293,10921
15600,15185,15629,15214
10134,808,10163,837
7215,14683,7244,14712
15765,15934,15794,15963
7048,13892,7077,13921
2094,15780,2123,15809
4244,5108,4273,5137
14794,4431,14823,4460
7131,1795,7160,1824
8000,116,8029,145
3231,5705,3260,5734
6240,9229,6269,9258
15075,12053,15104,12082
6639,5287,6668,5316
5304,2778,5333,2807
16025,12490,16054,12519
1853,13433,1882,13462
721,2511,750,2540
583,16248,612,16277
8905,9539,8934,9568
7239,7014,7268,7043
6971,11507,7000,11536
12376,62,12405,91
5557,9775,5586,9804
14821,9059,14850,9088
14963,12611,14992,12640
13441,4501,13470,4530
11450,12617,11479,12646
12921,4667,12950,4696
16302,10174,16331,10203
16091,1880,16120,1909
4268,11946,4297,11975
15397,10110,15426,10139
3995,1906,4024,1935
13414,13219,13443,13248
2962,15089,2991,15118
2841,4888,2870,4917
11379,11851,11408,11880
15449,2644,15478,2673
14753,4039,14782,4068
5434,12583,5463,12612
2263,13634,2292,13663
4395,13748,4424,13777
6946,7563,6975,7592
13000,14755,13029,14784
5789,10352,5818,10381
5637,5286,5666,5315
14226,3151,14255,3180
13525,7988,13554,8017
2329,2639,2358,2668
8727,5035,8756,5064
9656,2652,9685,2681
2592,12731,2621,12760
16331,5578,16360,5607
13884,4731,13913,4760
2813,3861,2842,3890
5027,3341,5056,3370
11669,2050,11698,2079
16065,2647,16094,2676
3098,1669,3127,1698
13557,15566,13586,15595
13071,5527,13100,5556
10639,9013,10668,9042
6037,13837,6066,13866
4608,10956,4637,10985
3443,2098,3472,2127
10240,2125,10269,2154
12904,16304,12933,16333
10529,9795,10558,9824
7635,4340,7664,4369
2216,4545,2245,4574
8894,16301,8923,16330
7770,3909,7799,3938
10505,15273,10534,15302
12736,8978,12765,9007
9179,1389,9208,1418
10075,3293,10104,3322
15042,1873,15071,1902
5521,3364,5550,3393
2683,13712,2712,13741
8616,4964,8645,4993
9905,11273,9934,11302
13266,12501,13295,12530
16347,5025,16376,5054
15341,1547,15370,1576
4599,13948,4628,13977
12988,8948,13017,8977
6807,8181,6836,8210
5218,4300,5247,4329
11844,15950,11873,15979
4584,14324,4613,14353
5475,5975,5504,6004
5421,3808,5450,3837
7192,12579,7221,12608
11433,217,11462,246
13135,2086,13164,2115
3492,395,3521,424
13169,9192,13198,9221
10885,13589,10914,13618
5254,4909,5283,4938
1723,3427,1752,3456
4536,12941,4565,12970
6547,15074,6576,15103
1649,13462,1678,13491
12401,5605,12430,5634
5154,9819,5183,9848
2352,7862,2381,7891
2394,1048,2423,1077
1155,1929,1184,1958
3579,15207,3608,15236
1568,3965,1597,3994
5404,16041,5433,16070
13602,1564,13631,1593
5836,1717,5865,1746
5758,10688,5787,10717
1118,14917,1147,14946
678,14762,707,14791
846,14700,875,14729
8555,16073,8584,16102
15813,12719,15842,12748
2837,15615,2866,15644
9283,2294,9312,2323
3632,11732,3661,11761
9831,13686,9860,13715
16271,5916,16300,5945
3315,15133,3344,15162
1913,7834,1942,7863
2259,1486,2288,1515
3668,14203,3697,14232
3920,2441,3949,2470
9324,4976,9353,5005
6606,8895,6635,8924
14930,660,14958,689
14643,12371,14672,12400
3078,5765,3107,5794
10739,511,10768,540
13244,4045,13273,4074
12794,8569,12823,8598
9170,23,9199,52
10349,7251,10378,7280
2098,6141,2127,6170
11474,1950,11503,1979
12269,2302,12298,2331
15251,3607,15280,3636
1846,11770,1875,11799
3313,3949,3342,3978
16211,9388,16240,9417
8670,7048,8699,7077
2575,9981,2604,10010
10771,1274,10800,1303
3117,10864,3146,10893
4897,1054,4926,1083
108,10867,137,10896
11251,1624,11280,1653
15207,6024,15236,6053
6236,4658,6265,4687
5314,9091,5343,9120
5847,4707,5876,4736
5047,12634,5076,12663
13657,10133,13686,10162
12384,15701,12413,15730
11154,11496,11183,11525
8909,8145,8938,8174
5633,5514,5662,5543
34,11267,63,11296
14522,15695,14551,15724
3749,11661,3778,11690
1138,2541,1167,2570
11579,1649,11608,1678
15235,1035,15264,1064
7827,130,7856,159
9270,6960,9299,6989
1369,14130,1398,14159
8591,8992,8620,9021
6178,1895,6207,1924
14219,13624,14248,13653
15387,8977,15416,9006
15836,16163,15865,16192
5832,724,5861,753
15579,15880,15608,15909
7709,13228,7738,13257
14261,3480,14290,3509
5893,12710,5922,12739
598,9763,627,9792
11574,4975,11603,5004
2680,8571,2709,8600
16208,2931,16237,2960
7237,10187,7266,10216
10198,12986,10227,13015
16342,16333,16371,16362
8756,11050,8785,11079
1994,12981,2023,13010
995,14597,1024,14626
12997,8628,13026,8657
8472,15397,8501,15426
13845,5516,13874,5545
10220,14458,10249,14487
5243,8770,5272,8799
8143,849,8172,878
14070,5319,14099,5348
2338,167,2367,196
6203,16134,6232,16163
12834,4114,12863,4143
10570,7084,10599,7113
6703,10201,6732,10230
2337,1502,2366,1531
3564,11420,3593,11449
16237,12793,16266,12822
6004,14103,6033,14132
7819,10495,7848,10524
8699,5135,8728,5164
5005,12796,5034,12825
14215,5234,14244,5263
8400,14220,8429,14249
7905,13554,7934,13583
4574,12371,4603,12400
3640,13656,3669,13685
4944,5222,4973,5251
3203,8144,3232,8173
9561,4686,9590,4715
14138,15383,14167,15412
2499,10612,2528,10641
1482,16036,1511,16065
2403,2060,2432,2089
1375,14410,1404,14439
878,12617,907,12646
7736,8848,7765,8877
10649,8334,10678,8363
4030,6531,4059,6560
3137,3888,3166,3917
2651,7672,2680,7701
1839,1048,1868,1077
4545,13788,4574,13817
14977,9186,15006,9215
4971,6319,5000,6348
6145,10989,6174,11018
12140,3461,12169,3490
8929,16194,8958,16223
15606,954,15635,983
8070,16258,8099,16287
1012,15649,1041,15678
14273,5741,14302,5770
3005,2143,3034,2172
3653,15079,3682,15108
13027,872,13056,901
15130,12319,15159,12348
12867,9590,12896,9619
6665,6458,6694,6487
11090,10535,11119,10564
7998,13798,8027,13827
10593,14808,10622,14837
10669,11079,10698,11108
4671,16218,4700,16247
11951,8505,11980,8534
2976,15178,3005,15207
2594,10464,2623,10493
6998,10444,7027,10473
4919,12752,4948,12781
3517,7543,3546,7572
3882,495,3911,524
12436,14512,12465,14541
13892,6343,13921,6372
11141,3006,11170,3035
3383,187,3412,216
11844,4287,11873,4316
7273,10181,7302,10210
1581,2532,1610,2561
9934,10293,9963,10322
6829,14804,6858,14833
13802,871,13831,900
9473,6866,9502,6895
3493,15039,3522,15068
2328,7485,2357,7514
13927,9590,13956,9619
7032,12342,7061,12371
817,3180,846,3209
3526,10282,3555,10311
11320,13658,11349,13687
8833,13477,8862,13506
8786,7101,8815,7130
5935,9485,5964,9514
6437,2210,6466,2239
13282,4616,13311,4645
5611,57,5640,86
6460,16294,6489,16323
8504,12797,8533,12826
297,12825,326,12854
66,5848,95,5877
2514,1164,2543,1193
5162,6113,5191,6142
5786,14422,5815,14451
14083,2460,14112,2489
855,11962,884,11991
7367,15224,7396,15253
9088,11831,9117,11860
12660,8017,12689,8046
4366,10363,4395,10392
5852,10424,5881,10453
344,3336,373,3365
1987,9764,2016,9793
3416,189,3445,218
10516,6971,10545,7000
14290,6640,14319,6669
15284,15458,15313,15487
247,13416,276,13445
479,6806,508,6835
9561,5472,9590,5501
13980,5116,14009,5145
11907,14257,11936,14286
467,13873,496,13902
1493,13512,1522,13541
12360,1499,12389,1528
5473,10273,5502,10302
7764,7961,7793,7990
5414,2723,5443,2752
3782,4294,3811,4323
5588,950,5617,979
5140,15980,5169,16009
2945,12479,2974,12508
755,13014,784,13043
14225,9419,14254,9448
12475,2648,12504,2677
7012,15079,7041,15108
6506,15770,6535,15799
14713,14600,14742,14629
11352,10620,11381,10649
5494,10532,5523,10561
9918,16204,9947,16233
4563,6916,4592,6945
14638,1323,14667,1352
12949,6268,12978,6297
7719,5663,7748,5692
506,13399,535,13428
414,5250,443,5279
1805,10047,1834,10076
4426,2557,4455,2586
2651,146,2680,175
16088,12506,16117,12535
11423,4669,11452,4698
14842,7042,14871,7071
3654,8628,3683,8657
15524,5761,15553,5790
7149,1576,7178,1605
16299,8328,16328,8357
4848,9012,4877,9041
13365,8352,13394,8381
14190,8708,14219,8737
11334,13281,11363,13310
8513,6075,8542,6104
4862,13367,4891,13396
13149,2724,13178,2753
